timestamp,New York Temperature [2 m elevation corrected],New York Relative Humidity [2 m],New York Wind Speed [10 m],New York Wind Direction [10 m]
20210118T1300,27.241014,94,27.438046,70.85186
20210118T1400,28.915014,95,28.079998,67.38013
20210118T1500,29.941015,94,29.69727,59.393593
20210118T1600,30.535015,90,34.38895,59.1391
20210118T1700,29.923016,93,37.290855,59.225967
20210118T1800,28.933014,94,38.16,58.1092
20210118T1900,28.195015,94,39.763298,58.324516
20210118T2000,27.529015,91,27.475807,31.607498
20210118T2100,26.971016,90,30.699368,39.289413
20210118T2200,26.629015,90,31.942772,50.029053
20210118T2300,26.557014,90,30.7542,51.65442
20210119T0000,26.683014,93,31.336546,47.327805
20210119T0100,26.701015,94,31.569351,44.075943
20210119T0200,27.043015,94,31.336546,42.67218
20210119T0300,27.475014,94,31.205997,39.3824
20210119T0400,27.907015,94,32.726357,39.644165
20210119T0500,28.501015,94,34.366333,45.424393
20210119T0600,29.149015,95,34.57687,51.34018
20210119T0700,29.473015,95,36.04497,55.9925
20210119T0800,30.031015,93,29.68636,50.906143
20210119T0900,30.139015,91,29.28418,46.494324
20210119T1000,30.589014,88,31.820824,44.541626
20210119T1100,30.823015,85,33.857227,44.5692
20210119T1200,31.489014,82,35.132755,45.830307
20210119T1300,31.147015,84,32.138947,41.36705
20210119T1400,31.021015,86,29.257614,34.472214
20210119T1500,31.183014,88,27.212759,27.582016
20210119T1600,31.525015,88,27.009598,21.092346
20210119T1700,31.651014,90,26.654589,16.476883
20210119T1800,31.345015,95,23.675303,8.74614
20210119T1900,31.417015,95,22.682856,0.90937805
20210119T2000,30.445015,95,13.363711,332.7447
20210119T2100,28.825014,95,12.181624,325.84033
20210119T2200,26.665014,95,14.05845,320.19443
20210119T2300,24.667015,96,15.072783,319.844
20210120T0000,24.181015,96,16.80857,316.73572
20210120T0100,24.667015,94,19.346441,315
20210120T0200,23.497015,92,23.675303,315.61606
20210120T0300,22.435015,89,27.026386,318.2397
20210120T0400,21.463015,88,29.131096,320.01312
20210120T0500,20.509014,89,29.460672,321.44952
20210120T0600,19.519016,90,26.552288,319.3987
20210120T0700,18.925014,91,24.967497,312.66272
20210120T0800,22.579014,89,24.633049,296.93954
20210120T0900,25.891014,80,29.947153,297.1811
20210120T1000,27.799015,73,34.20568,300.34326
20210120T1100,29.401014,73,37.446922,307.97162
20210120T1200,30.535015,70,37.67465,315
20210120T1300,31.237015,66,38.18716,315.76392
20210120T1400,31.435015,63,38.445908,313.86182
20210120T1500,30.895014,64,38.746437,311.98724
20210120T1600,30.643015,65,39.08778,310.1434
20210120T1700,29.995014,69,38.906654,308.991
20210120T1800,29.473015,73,37.163788,308.3131
20210120T1900,29.311014,74,34.858707,308.29016
20210120T2000,27.745014,77,26.61323,293.09683
20210120T2100,24.919014,83,29.07989,291.8014
20210120T2200,22.723015,86,31.394394,296.56506
20210120T2300,20.635014,87,32.44996,303.69006
20210121T0000,19.915014,88,32.112724,307.2553
20210121T0100,19.735016,89,31.608328,307.13092
20210121T0200,19.393015,89,31.32207,307.52844
20210121T0300,19.105015,90,30.928587,309.80557
20210121T0400,18.871014,90,29.28418,313.50568
20210121T0500,18.673016,90,27.238943,315.53546
20210121T0600,18.385014,90,25.711662,315.56726
20210121T0700,18.061016,90,24.703974,313.22855
20210121T0800,21.355015,88,21.26744,303.95905
20210121T0900,24.739014,83,25.264202,302.7843
20210121T1000,27.619015,70,26.230639,313.33167
20210121T1100,29.401014,65,26.072052,324.5543
20210121T1200,30.697014,61,26.064596,327.40744
20210121T1300,31.813015,60,25.570139,324.74365
20210121T1400,32.533016,59,23.363974,326.30994
