timestamp,New York Temperature [2 m elevation corrected],New York Relative Humidity [2 m],New York Wind Speed [10 m],New York Wind Direction [10 m]
20200818T0900,25.315014,85,24.33664,60.780754
20200818T1000,25.495014,90,27.691935,63.76805
20200818T1100,25.765015,94,26.61323,59.966713
20200818T1200,26.395016,94,26.250393,64.8407
20200818T1300,27.241014,94,27.438046,70.85186
20200818T1400,28.915014,95,28.079998,67.38013
20200818T1500,29.941015,94,29.69727,59.393593
20200818T1600,30.535015,90,34.38895,59.1391
20200818T1700,29.923016,93,37.290855,59.225967
20200818T1800,28.933014,94,38.16,58.1092
20200818T1900,28.195015,94,39.763298,58.324516
20200818T2000,27.529015,91,27.475807,31.607498
20200818T2100,26.971016,90,30.699368,39.289413
20200818T2200,26.629015,90,31.942772,50.029053
20200818T2300,26.557014,90,30.7542,51.65442
20200819T0000,26.683014,93,31.336546,47.327805
20200819T0100,26.701015,94,31.569351,44.075943
20200819T0200,27.043015,94,31.336546,42.67218
20200819T0300,27.475014,94,31.205997,39.3824
20200819T0400,27.907015,94,32.726357,39.644165
20200819T0500,28.501015,94,34.366333,45.424393
20200819T0600,29.149015,95,34.57687,51.34018
20200819T0700,29.473015,95,36.04497,55.9925
20200819T0800,30.031015,93,29.68636,50.906143
20200819T0900,30.139015,91,29.28418,46.494324
20200819T1000,30.589014,88,31.820824,44.541626
20200819T1100,30.823015,85,33.857227,44.5692
20200819T1200,31.489014,82,35.132755,45.830307
20200819T1300,31.147015,84,32.138947,41.36705
20200819T1400,31.021015,86,29.257614,34.472214
20200819T1500,31.183014,88,27.212759,27.582016
20200819T1600,31.525015,88,27.009598,21.092346
20200819T1700,31.651014,90,26.654589,16.476883
20200819T1800,31.345015,95,23.675303,8.74614
20200819T1900,31.417015,95,22.682856,0.90937805
20200819T2000,30.445015,95,13.363711,332.7447
20200819T2100,28.825014,95,12.181624,325.84033
20200819T2200,26.665014,95,14.05845,320.19443
20200819T2300,24.667015,96,15.072783,319.844
20200820T0000,24.181015,96,16.80857,316.73572
20200820T0100,24.667015,94,19.346441,315
20200820T0200,23.497015,92,23.675303,315.61606
20200820T0300,22.435015,89,27.026386,318.2397
20200820T0400,21.463015,88,29.131096,320.01312
20200820T0500,20.509014,89,29.460672,321.44952
20200820T0600,19.519016,90,26.552288,319.3987
20200820T0700,18.925014,91,24.967497,312.66272
20200820T0800,22.579014,89,24.633049,296.93954
20200820T0900,25.891014,80,29.947153,297.1811
20200820T1000,27.799015,73,34.20568,300.34326
20200820T1100,29.401014,73,37.446922,307.97162
20200820T1200,30.535015,70,37.67465,315
20200820T1300,31.237015,66,38.18716,315.76392
20200820T1400,31.435015,63,38.445908,313.86182
20200820T1500,30.895014,64,38.746437,311.98724
20200820T1600,30.643015,65,39.08778,310.1434
20200820T1700,29.995014,69,38.906654,308.991
20200820T1800,29.473015,73,37.163788,308.3131
20200820T1900,29.311014,74,34.858707,308.29016
20200820T2000,27.745014,77,26.61323,293.09683
20200820T2100,24.919014,83,29.07989,291.8014
20200820T2200,22.723015,86,31.394394,296.56506
20200820T2300,20.635014,87,32.44996,303.69006
20200821T0000,19.915014,88,32.112724,307.2553
20200821T0100,19.735016,89,31.608328,307.13092
20200821T0200,19.393015,89,31.32207,307.52844
20200821T0300,19.105015,90,30.928587,309.80557
20200821T0400,18.871014,90,29.28418,313.50568
20200821T0500,18.673016,90,27.238943,315.53546
20200821T0600,18.385014,90,25.711662,315.56726
20200821T0700,18.061016,90,24.703974,313.22855
20200821T0800,21.355015,88,21.26744,303.95905
20200821T0900,24.739014,83,25.264202,302.7843
20200821T1000,27.619015,70,26.230639,313.33167
